event_id,date,year,kelurahan,area,rt,rw,location,event_type,depth_cm,cause,source,source_url,latitude,longitude,coordinate_method,scope,coordinate_note
JTG-0001,2021-02-19,2021,Kampung Melayu,Kebon Pala,,,Kebon Pala,banjir,100.0,Luapan Kali Ciliwung + hujan deras,ANTARA,https://www.antaranews.com/view/2008197/banjir-rendam-rumah-penduduk-di-jakarta-timur,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0002,2021-02-20,2021,Kampung Melayu,Kebon Pala,,,"Jl. Jatinegara Barat, Jembatan Tongtek",genangan,30.0,Genangan/banjir,ANTARA,https://www.antaranews.com/berita/2010219/jalan-jatinegara-barat-tersendat-akibat-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0003,2021-02-26,2021,Kampung Melayu,Kebon Pala,05,11,Kebon Pala RT 05/RW 11,banjir,100.0,Luapan Kali Ciliwung + hujan lebat,ANTARA,https://www.antaranews.com/berita/2018232/permukiman-penduduk-di-kebon-pala-kembali-terendam-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0004,2021-02-26,2021,Bidara Cina,,07,,RW 07 Bidara Cina,banjir,80.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/2018457/banjir-rendam-rumah-penduduk-di-bidaracina,-6.2397888,106.8674026,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0005,2022-02-17,2022,Kampung Melayu,Kebon Pala,04-05,,RW 04-05 Kebon Pala,banjir,100.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/2708901/banjir-setinggi-satu-meter-rendam-permukiman-warga-di-kebon-pala,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0006,2022-06-01,2022,Kampung Melayu,Kebon Pala,04,,RW 04 Kebon Pala,banjir,70.0,Banjir kiriman dari Bogor,ANTARA,https://www.antaranews.com/berita/2913337/banjir-mulai-surut-warga-kebon-pala-bersihkan-lumpur,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0007,2022-06-11,2022,Kampung Melayu,Kebon Pala,04-05,,RW 04-05 Kebon Pala,banjir,50.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/2933089/banjir-di-kebon-pala-berangsur-surut,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0008,2022-10-10,2022,Bidara Cina,,06-07,,Jalan Kemuning / RW 06-07,banjir,100.0,Luapan Ciliwung,detikcom,https://news.detik.com/berita/d-6338983/rw-07-bidara-cina-jatinegara-masih-banjir-tinggi-air-40-cm,-6.2397888,106.8674026,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0009,2022-11-06,2022,Kampung Melayu,Kebon Pala,,,Kebon Pala,banjir,100.0,Luapan Kali Ciliwung,Kompas TV,https://www.youtube.com/watch?v=yT-s1c2MX1Q,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0010,2023-02-12,2023,Bidara Cina,,,,Permukiman bantaran Ciliwung,banjir,50.0,Hujan + luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/3392967/banjir-di-kelurahan-cawang-dan-bidara-cina-sudah-surut,-6.2397888,106.8674026,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0011,2023-02-27,2023,Kampung Melayu,Kebon Pala,13,04,Kebon Pala RT 13/RW 04,banjir,175.0,Hujan tinggi + luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/3415701/permukiman-kebon-pala-terendam-hingga-175-m-akibat-luapan-ciliwung,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0012,2023-02-27,2023,Cipinang Muara,,12,13,Jl. Cipinang Bali / RW 13,banjir,60.0,Luapan Kali Sunter,TribunJakarta,https://www.youtube.com/watch?v=vy9c0kdYuEc,-6.2379063,106.8894818,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0013,2023-03-14,2023,Kampung Melayu,Kebon Pala,13,04,Kebon Pala RT 13/RW 04,banjir,85.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/3439857/permukiman-kebon-pala-terendam-banjir-akibat-luapan-kali-ciliwung,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0014,2023-03-15,2023,Kampung Melayu,Kebon Pala,13,04,Jl. Kebon Pala RT 13/RW 04,banjir,85.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/3441441/permukiman-kebon-pala-masih-terendam-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0015,2023-03-15,2023,Bidara Cina,Tanjung Lengkong,05,,Tanjung Lengkong RT 05,banjir,,Luapan Kali Ciliwung,kumparan,https://kumparan.com/kumparannews/sempat-terendam-banjir-kini-wilayah-bidara-cina-sudah-surut-201GbMArAOP,-6.23751,106.86612,locality_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is a locality/road representative point.
JTG-0016,2023-05-04,2023,Kampung Melayu,Kebon Pala,13,04,Kebon Pala RT 13/RW 04,banjir,150.0,Luapan Kali Ciliwung,ANTARA,https://jatim.antaranews.com/berita/699063/kali-ciliwung-meluap-permukiman-kebon-pala-terendam-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0017,2023-06-19,2023,Kampung Melayu,Kebon Pala,"10,13",04,Kebon Pala RT 10 & 13/RW 04,banjir,150.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/3596058/permukiman-kebon-pala-banjir-akibat-kali-ciliwung-meluap,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0018,2024-01-31,2024,Kampung Melayu,Kebon Pala,"10,13",04,Kebon Pala RT 10 & 13/RW 04,banjir,65.0,Curah hujan tinggi,ANTARA,https://www.antaranews.com/berita/3940479/curah-hujan-tinggi-permukiman-warga-di-kebon-pala-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0019,2024-03-14,2024,Kampung Melayu,Kebon Pala,13,04,Kebon Pala RT 13/RW 04,banjir,75.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/4010397/ratusan-rumah-di-kebon-pala-terendam-banjir-hingga-75-cm,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0020,2024-03-25,2024,Kampung Melayu,Kebon Pala,04-05,,Kebon Pala RW 04-05,banjir,100.0,Luapan Kali Ciliwung,ANTARA,https://www.antaranews.com/berita/4027071/kali-ciliwung-meluap-permukiman-warga-kebon-pala-kembali-banjir,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0021,2024-11-28,2024,Kampung Melayu,Tanah Rendah/Kebon Pala,12,,RT 12 RW 04; 16 RT RW 08 Tanah Rendah,banjir,200.0,Luapan Kali Ciliwung,detikcom,https://news.detik.com/berita/d-7660859/ketua-rt-di-kebon-pala-sebut-banjir-sampai-2-meter-banyak-yang-belum-ngungsi,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0022,2025-01-28,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"6,12","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,genangan,20.0,Katulampa & Depok Siaga 3; Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2408127,106.8652609,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0023,2025-01-29,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"6,12,5","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,90.0,Katulampa & Depok Siaga 3; Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0024,2025-01-29,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,130.0,Kenaikan debit Ciliwung; Depok & Katulampa Siaga 3,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0025,2025-02-28,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,genangan,25.0,Kenaikan debit Kali Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0026,2025-03-01,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,"6,12,5","11,03,07",Jl. Baiduri Bulan; Jl. Tanjung Lengkong,banjir,150.0,Katulampa & Depok Siaga 3; Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2397888,106.8674026,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0027,2025-03-01,2025,Kampung Melayu,Kebon Pala II,"12,13,10,11","04,05",Jl. Kebon Pala II,banjir,100.0,Katulampa & Depok Siaga 3; Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0028,2025-03-02,2025,Kampung Melayu,Kebon Pala II,"3,4,5,8,15","7,8",Jl. Kebon Pala II,banjir,300.0,Katulampa & Depok Siaga 3; Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0029,2025-03-03,2025,Kampung Melayu,Kebon Pala II,"3,4,5,8,15","7,8",Jl. Kebon Pala II,banjir,300.0,Pos Pantau Depok Siaga 1,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2144639,106.8597342,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0030,2025-03-04,2025,Bidara Cina,Baiduri Bulan / Tanjung Lengkong,,"05,06,07,11","RW 05, 06, 07, 11",banjir,350.0,Luapan Sungai Ciliwung,Beritajakarta,https://www.beritajakarta.id/siaran-pers/wilayah/jakarta-timur/read/2805-SP-JAKTIM-03-2025,-6.2397888,106.8674026,kelurahan_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is the official Jakarta kelurahan-office point used as a proxy because the report did not provide a precise point.
JTG-0031,2025-04-06,2025,Cipinang Muara,Cipinang Bali,12,13,Jl. Cipinang Bali RT 12/RW 13,genangan,30.0,Luapan Sunter Hulu + hujan lokal,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.2379063,106.8894818,road_proxy,"Kecamatan Jatinegara, Jakarta Timur","Coordinate is a representative point for the named road/locality, not a surveyed flood polygon."
JTG-0032,2025-04-07,2025,Bidara Cina,Tanjung Lengkong,5,7,Jl. Tanjung Lengkong RT 5/RW 7,banjir,60.0,Kenaikan debit Ciliwung,Pemkot Jakarta Timur,https://timur.jakarta.go.id/ppid/storage/files/setko-260609-075654-x938X6Z0-REKAP_BANJIR_TAHUN_2025_compressed.pdf,-6.23751,106.86612,locality_proxy,"Kecamatan Jatinegara, Jakarta Timur",Coordinate is a locality/road representative point.
