rn,priode_data,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah,periode_data
1,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,15 s.d 64,Laki-laki,89,2016
2,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,15 s.d 64,Laki-laki,55,2016
3,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,15 s.d 64,Laki-laki,38,2016
4,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,15 s.d 64,Laki-laki,94,2016
5,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,15 s.d 64,Laki-laki,63,2016
6,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,15 s.d 64,Laki-laki,62,2016
7,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,15 s.d 64,Laki-laki,42,2016
8,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,15 s.d 64,Laki-laki,313,2016
9,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,15 s.d 64,Laki-laki,40,2016
10,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,15 s.d 64,Laki-laki,72,2016
11,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,15 s.d 64,Laki-laki,45,2016
12,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,15 s.d 64,Laki-laki,45,2016
13,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,15 s.d 64,Laki-laki,27,2016
14,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,15 s.d 64,Laki-laki,97,2016
15,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,15 s.d 64,Laki-laki,23,2016
16,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,15 s.d 64,Laki-laki,70,2016
17,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,15 s.d 64,Laki-laki,42,2016
18,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,15 s.d 64,Laki-laki,37,2016
19,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,15 s.d 64,Laki-laki,61,2016
20,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,15 s.d 64,Laki-laki,136,2016
21,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,15 s.d 64,Laki-laki,64,2016
22,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,15 s.d 64,Laki-laki,91,2016
23,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,15 s.d 64,Laki-laki,92,2016
24,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,15 s.d 64,Laki-laki,127,2016
25,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,15 s.d 64,Laki-laki,136,2016
26,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,15 s.d 64,Laki-laki,13,2016
27,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,15 s.d 64,Laki-laki,50,2016
28,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,15 s.d 64,Laki-laki,146,2016
29,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,15 s.d 64,Laki-laki,58,2016
30,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,15 s.d 64,Laki-laki,46,2016
31,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,15 s.d 64,Laki-laki,36,2016
32,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,15 s.d 64,Laki-laki,48,2016
33,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,15 s.d 64,Laki-laki,101,2016
34,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,15 s.d 64,Laki-laki,101,2016
35,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,15 s.d 64,Laki-laki,171,2016
36,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,15 s.d 64,Laki-laki,238,2016
37,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,15 s.d 64,Laki-laki,369,2016
38,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,15 s.d 64,Laki-laki,204,2016
39,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,15 s.d 64,Laki-laki,175,2016
40,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,15 s.d 64,Laki-laki,48,2016
41,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,15 s.d 64,Laki-laki,33,2016
42,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,15 s.d 64,Laki-laki,48,2016
43,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,15 s.d 64,Laki-laki,237,2016
44,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,15 s.d 64,Laki-laki,97,2016
45,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,15 s.d 64,Laki-laki,76,2016
46,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,15 s.d 64,Laki-laki,46,2016
47,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,15 s.d 64,Laki-laki,41,2016
48,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,15 s.d 64,Laki-laki,50,2016
49,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,15 s.d 64,Laki-laki,84,2016
50,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,15 s.d 64,Laki-laki,39,2016
51,,2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,15 s.d 64,Laki-laki,46,2016
52,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,15 s.d 64,Laki-laki,31,2016
53,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,15 s.d 64,Laki-laki,39,2016
54,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,15 s.d 64,Laki-laki,93,2016
55,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,15 s.d 64,Laki-laki,63,2016
56,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,15 s.d 64,Laki-laki,60,2016
57,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,15 s.d 64,Laki-laki,29,2016
58,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,15 s.d 64,Laki-laki,156,2016
59,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,15 s.d 64,Laki-laki,11,2016
60,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,15 s.d 64,Laki-laki,7,2016
61,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,15 s.d 64,Laki-laki,19,2016
62,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,15 s.d 64,Laki-laki,16,2016
63,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,15 s.d 64,Laki-laki,67,2016
64,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,15 s.d 64,Laki-laki,158,2016
65,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,15 s.d 64,Laki-laki,29,2016
66,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,15 s.d 64,Laki-laki,2,2016
67,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,15 s.d 64,Laki-laki,24,2016
68,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,15 s.d 64,Laki-laki,19,2016
69,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,15 s.d 64,Laki-laki,69,2016
70,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,15 s.d 64,Laki-laki,35,2016
71,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,15 s.d 64,Laki-laki,20,2016
72,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,15 s.d 64,Laki-laki,69,2016
73,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,15 s.d 64,Laki-laki,41,2016
74,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,15 s.d 64,Laki-laki,32,2016
75,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,15 s.d 64,Laki-laki,51,2016
76,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,15 s.d 64,Laki-laki,103,2016
77,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,15 s.d 64,Laki-laki,64,2016
78,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,15 s.d 64,Laki-laki,91,2016
79,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,15 s.d 64,Laki-laki,56,2016
80,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,15 s.d 64,Laki-laki,64,2016
81,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,15 s.d 64,Laki-laki,75,2016
82,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,15 s.d 64,Laki-laki,50,2016
83,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,15 s.d 64,Laki-laki,82,2016
84,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,15 s.d 64,Laki-laki,86,2016
85,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,15 s.d 64,Laki-laki,46,2016
86,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,15 s.d 64,Laki-laki,34,2016
87,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,15 s.d 64,Laki-laki,76,2016
88,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,15 s.d 64,Laki-laki,58,2016
89,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,15 s.d 64,Laki-laki,62,2016
90,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,15 s.d 64,Laki-laki,1,2016
91,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,15 s.d 64,Laki-laki,16,2016
92,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,15 s.d 64,Laki-laki,23,2016
93,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,15 s.d 64,Laki-laki,5,2016
94,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,15 s.d 64,Laki-laki,9,2016
95,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,15 s.d 64,Laki-laki,6,2016
96,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,15 s.d 64,Laki-laki,7,2016
97,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,15 s.d 64,Laki-laki,25,2016
98,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,15 s.d 64,Laki-laki,24,2016
99,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,15 s.d 64,Laki-laki,98,2016
100,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,15 s.d 64,Laki-laki,67,2016
101,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,15 s.d 64,Laki-laki,28,2016
102,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,15 s.d 64,Laki-laki,41,2016
103,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,15 s.d 64,Laki-laki,19,2016
104,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,15 s.d 64,Laki-laki,77,2016
105,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,15 s.d 64,Laki-laki,10,2016
106,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,15 s.d 64,Laki-laki,57,2016
107,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,15 s.d 64,Laki-laki,269,2016
108,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,15 s.d 64,Laki-laki,58,2016
109,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,15 s.d 64,Laki-laki,115,2016
110,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,15 s.d 64,Laki-laki,92,2016
111,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,15 s.d 64,Laki-laki,56,2016
112,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,15 s.d 64,Laki-laki,52,2016
113,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,15 s.d 64,Laki-laki,64,2016
114,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,15 s.d 64,Laki-laki,111,2016
115,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,15 s.d 64,Laki-laki,83,2016
116,,2016,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,15 s.d 64,Laki-laki,23,2016
117,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,15 s.d 64,Laki-laki,389,2016
118,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,15 s.d 64,Laki-laki,48,2016
119,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,15 s.d 64,Laki-laki,344,2016
120,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,15 s.d 64,Laki-laki,99,2016
121,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,15 s.d 64,Laki-laki,68,2016
122,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,15 s.d 64,Laki-laki,166,2016
123,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,15 s.d 64,Laki-laki,56,2016
124,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,15 s.d 64,Laki-laki,211,2016
125,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,15 s.d 64,Laki-laki,146,2016
126,,2016,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,15 s.d 64,Laki-laki,109,2016
