rn,tahun,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,jenis_disabilitas,jenis_kelamin,jumlah,periode_data
1,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Cacat Lainnya,Laki-laki,2,2015
2,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Fisik,Laki-laki,7,2015
3,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Netra/Buta,Laki-laki,1,2015
4,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Rungu/Wicara,Laki-laki,1,2015
5,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Mental/Jiwa,Laki-laki,1,2015
6,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Fisik dan Mental,Laki-laki,0,2015
7,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Lainnya,Laki-laki,0,2015
8,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Rungu/Wicara,Laki-laki,1,2015
9,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Mental/Jiwa,Laki-laki,1,2015
10,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Fisik dan Mental,Laki-laki,1,2015
11,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Lainnya,Laki-laki,1,2015
12,2015,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Cacat Lainnya,Laki-laki,1,2015
13,2015,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,Cacat Mental/Jiwa,Laki-laki,2,2015
14,2015,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,Cacat Lainnya,Laki-laki,1,2015
15,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Fisik,Laki-laki,2,2015
16,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Netra/Buta,Laki-laki,0,2015
17,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Mental/Jiwa,Laki-laki,1,2015
18,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Lainnya,Laki-laki,0,2015
19,2015,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Cacat Fisik,Laki-laki,1,2015
20,2015,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Cacat Rungu/Wicara,Laki-laki,1,2015
21,2015,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Cacat Mental/Jiwa,Laki-laki,1,2015
22,2015,DKI Jakarta,JAKARTA UTARA,KOJA,LAGOA,Cacat Fisik dan Mental,Laki-laki,0,2015
23,2015,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Cacat Lainnya,Laki-laki,0,2015
24,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,Cacat Fisik,Laki-laki,14,2015
25,2015,DKI Jakarta,JAKARTA UTARA,KOJA,TUGU SELATAN,Cacat Lainnya,Laki-laki,3,2015
26,2015,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Fisik,Laki-laki,0,2015
27,2015,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Rungu/Wicara,Laki-laki,3,2015
28,2015,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Fisik dan Mental,Laki-laki,0,2015
29,2015,DKI Jakarta,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Lainnya,Laki-laki,71,2015
30,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,Cacat Fisik,Laki-laki,1,2015
31,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,CILINCING,Cacat Lainnya,Laki-laki,5,2015
32,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,Cacat Fisik,Laki-laki,0,2015
33,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,SUKAPURA,Cacat Lainnya,Laki-laki,2,2015
34,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Fisik,Laki-laki,1,2015
35,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Rungu/Wicara,Laki-laki,1,2015
36,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Fisik dan Mental,Laki-laki,1,2015
37,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Lainnya,Laki-laki,1,2015
38,2015,DKI Jakarta,JAKARTA UTARA,CILINCING,KALI BARU,Cacat Fisik,Laki-laki,1,2015
