rn,periode_data,triwulan,bulan,wilayah,kecamatan,kelurahan,jumlah_rata_rata_ketinggian_air,jumlah_rw_terdampak,jumlah_kk_terdampak,jumlah_jiwa_terdampak,jumlah_kejadian,jumlah_korban_meninggal,jumlah_korban_luka,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
1,202406,2,6,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,10 s.d 60 cm,1,0,0,12,0,0,0,0,0
2,202403,1,1,kota adm. jakarta barat,cengkareng,cengkareng timur,30 s.d 40 cm,2,0,0,2,0,0,0,0,0
3,202403,1,1,kota adm. jakarta barat,kembangan,joglo,30 s.d 40 cm,1,0,0,1,0,0,0,0,0
4,202403,1,1,kota adm. jakarta barat,kali deres,kamal,30 cm,1,0,0,1,0,0,0,0,0
5,202403,1,1,kota adm. jakarta barat,cengkareng,kapuk,30 cm,1,0,0,1,0,0,0,0,0
6,202403,1,1,kota adm. jakarta barat,cengkareng,kedaung kali angke,30 s.d 40 cm,2,0,0,3,0,0,0,0,0
7,202403,1,1,kota adm. jakarta barat,kebon jeruk,kedoya selatan,30 cm,1,0,0,1,0,0,0,0,0
8,202403,1,1,kota adm. jakarta barat,kembangan,kembangan selatan,30 s.d 100 cm,3,0,0,2,0,0,0,0,0
9,202403,1,1,kota adm. jakarta barat,kembangan,kembangan utara,30 s.d 100 cm,1,24,95,1,0,0,30,1,0
10,202403,1,1,kota adm. jakarta barat,kali deres,pegadungan,40 cm,1,0,0,1,0,0,0,0,0
11,202403,1,1,kota adm. jakarta barat,cengkareng,rawa buaya,30 s.d 100 cm,3,0,0,4,0,0,0,0,0
12,202403,1,1,kota adm. jakarta barat,kali deres,semanan,30 s.d 40 cm,1,0,0,1,0,0,0,0,0
13,202403,1,1,kota adm. jakarta barat,kebon jeruk,sukabumi selatan,30 s.d 80 cm,1,0,0,2,0,0,0,0,0
14,202403,1,1,kota adm. jakarta barat,kali deres,tegal alur,30 s.d 35 cm,4,0,0,2,0,0,26,1,0
15,202403,1,1,kota adm. jakarta selatan,mampang prapatan,bangka,30 cm,1,0,0,1,0,0,0,0,0
16,202403,1,1,kota adm. jakarta selatan,pesanggrahan,bintaro,30 s.d 100 cm,1,30,60,1,0,0,0,0,0
17,202403,1,1,kota adm. jakarta selatan,jagakarsa,ciganjur,30 cm,1,0,0,1,0,0,0,0,0
18,202403,1,1,kota adm. jakarta selatan,cilandak,cilandak barat,40 s.d 150 cm,3,8,24,2,0,0,0,0,0
19,202403,1,1,kota adm. jakarta selatan,pasar minggu,cilandak timur,20 s.d 180 cm,2,314,975,8,0,0,55,2,0
20,202403,1,1,kota adm. jakarta selatan,kebayoran baru,cipete utara,30 s.d 35 cm,1,0,0,1,0,0,0,0,0
21,202403,1,1,kota adm. jakarta selatan,kebayoran lama,cipulir,30 s.d 100 cm,1,0,0,3,0,0,0,0,0
22,202403,1,1,kota adm. jakarta selatan,pancoran,duren tiga,30 s.d 50 cm,1,0,0,3,0,0,0,0,0
23,202403,1,1,kota adm. jakarta selatan,cilandak,gandaria selatan,30 cm,1,0,0,2,0,0,0,0,0
24,202403,1,1,kota adm. jakarta selatan,pasar minggu,jati padang,10 s.d 40 cm,1,0,0,1,0,0,0,0,0
25,202403,1,1,kota adm. jakarta selatan,pancoran,kalibata,40 s.d 60 cm,3,0,0,3,0,0,0,0,0
26,202403,1,1,kota adm. jakarta selatan,kebayoran lama,kebayoran lama utara,30 cm,1,0,0,1,0,0,0,0,0
27,202403,1,1,kota adm. jakarta selatan,kebayoran baru,kramat pela,40 cm,3,0,0,1,0,0,0,0,0
28,202403,1,1,kota adm. jakarta selatan,mampang prapatan,kuningan barat,30 s.d 120 cm,3,0,0,4,0,0,0,0,0
29,202403,1,1,kota adm. jakarta selatan,cilandak,lebak bulus,30 s.d 60 cm,4,10,30,2,0,0,0,0,0
30,202403,1,1,kota adm. jakarta selatan,pasar minggu,pejaten barat,30 s.d 150 cm,2,0,0,2,0,0,0,0,0
31,202403,1,1,kota adm. jakarta selatan,pasar minggu,pejaten timur,30 s.d 120 cm,3,0,0,2,0,0,0,0,0
32,202403,1,1,kota adm. jakarta selatan,mampang prapatan,pela mampang,20 s.d 100 cm,1,0,0,3,0,0,0,0,0
33,202403,1,1,kota adm. jakarta selatan,pesanggrahan,pesanggrahan,30 s.d 60 cm,2,40,160,1,0,0,0,0,0
34,202403,1,1,kota adm. jakarta selatan,kebayoran baru,petogogan,30 s.d 65 cm,2,0,0,2,0,0,0,0,0
35,202403,1,1,kota adm. jakarta selatan,kebayoran lama,pondok pinang,30 s.d 85 cm,2,0,0,3,0,0,0,0,0
36,202403,1,1,kota adm. jakarta selatan,pancoran,rawa jati,30 s.d 50 cm,2,0,0,2,0,0,0,0,0
37,202406,2,4,KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,30 s.d 70 cm,1,0,0,1,0,0,0,0,0
38,202406,2,4,KOTA ADM. JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,35 s.d 40 cm,2,321,543,1,0,0,0,0,0
39,202406,2,4,KOTA ADM. JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,30 s.d 175 cm,3,85,266,4,0,0,10,1,0
40,202406,2,4,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,70 s.d 100 cm,1,0,0,1,0,0,0,0,0
41,202406,2,4,KOTA ADM. JAKARTA TIMUR,MAKASAR,MAKASAR,30 s.d 120 cm,3,0,0,1,0,0,0,0,0
42,202406,2,4,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,30 s.d 40 cm,1,0,0,1,0,0,0,0,0
43,202406,2,5,KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,50 s.d 80 cm,1,0,0,1,0,0,0,0,0
44,202406,2,5,KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,30 cm,1,0,0,1,0,0,0,0,0
45,202406,2,5,KOTA ADM. JAKARTA SELATAN,TEBET,KEBON BARU,60 s.d 90 cm,1,0,0,1,0,0,0,0,0
46,202406,2,5,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,10 s.d 260 cm,4,42,150,1,0,0,0,0,0
47,202406,2,5,KOTA ADM. JAKARTA SELATAN,PANCORAN,PENGADEGAN,45 s.d 75 cm,1,0,0,1,0,0,0,0,0
48,202406,2,5,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,30 s.d 40 cm,1,0,0,1,0,0,0,0,0
49,202406,2,5,KOTA ADM. JAKARTA SELATAN,PANCORAN,RAWA JATI,30 s.d 90 cm,2,0,0,1,0,0,0,0,0
50,202406,2,5,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,30 s.d 120 cm,1,0,0,1,0,0,0,0,0
51,202406,2,5,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,50 s.d 70 cm,1,0,0,1,0,0,0,0,0
52,202406,2,5,KOTA ADM. JAKARTA TIMUR,JATINEGARA,BIDARA CINA,40 s.d 190 cm,2,0,0,1,0,0,18,2,0
53,202406,2,5,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,CAWANG,30 s.d 280 cm,3,0,0,1,0,0,0,0,0
54,202406,2,5,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,CILILITAN,50 s.d 170 cm,2,0,0,1,0,0,0,0,0
55,202406,2,5,KOTA ADM. JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,30 s.d 210 cm,4,395,1198,2,0,0,35,1,0
56,202406,2,5,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,10 cm,2,0,0,3,0,0,0,0,0
57,202406,2,5,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PENJARINGAN,10 cm,1,0,0,1,0,0,0,0,0
58,202406,2,5,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,10 s.d 55 cm,1,0,0,11,0,0,0,0,0
59,202406,2,6,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,30 cm,3,0,0,1,0,0,0,0,0
60,202406,2,6,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,PULO,35 s.d 65 cm,1,0,0,1,0,0,0,0,0
61,202406,2,6,KOTA ADM. JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,40 cm,2,0,0,1,0,0,0,0,0
62,202406,2,6,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,10 s.d 15 cm,1,0,0,10,0,0,0,0,0
63,202406,2,4,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,40 s.d 50 cm,1,0,0,1,0,0,0,0,0
64,202406,2,4,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,30 cm,1,0,0,1,0,0,0,0,0
65,202406,2,4,KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,30 s.d 90 cm,1,0,0,5,0,0,0,0,0
66,202406,2,4,KOTA ADM. JAKARTA BARAT,KALI DERES,TEGAL ALUR,30 cm,1,0,0,1,0,0,0,0,0
67,202406,2,4,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,BINTARO,30 s.d 60 cm,1,0,0,1,0,0,0,0,0
68,202406,2,4,KOTA ADM. JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,70 cm,1,0,0,1,0,0,0,0,0
69,202406,2,4,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,40 s.d 175 cm,1,314,975,1,0,0,42,2,0
70,202406,2,4,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,40 s.d 90 cm,1,0,0,2,0,0,0,0,0
71,202406,2,4,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,50 cm,1,26,108,1,0,0,0,0,0
72,202406,2,4,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,35 s.d 160 cm,1,6,24,1,0,0,0,0,0
73,202406,2,4,KOTA ADM. JAKARTA SELATAN,CILANDAK,LEBAK BULUS,30 s.d 60 cm,2,10,30,1,0,0,0,0,0
74,202406,2,4,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,40 cm,1,0,0,1,0,0,0,0,0
75,202406,2,4,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,30 s.d 150 cm,3,0,0,3,0,0,0,0,0
76,202406,2,4,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,30 s.d 50 cm,2,0,0,3,0,0,0,0,0
77,202406,2,4,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,50 s.d 70 cm,1,0,0,1,0,0,0,0,0
78,202406,2,4,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,30 s.d 100 cm,2,0,0,2,0,0,0,0,0
79,202406,2,4,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,50 s.d 55 cm,1,0,0,1,0,0,0,0,0
80,202406,2,4,KOTA ADM. JAKARTA SELATAN,PANCORAN,RAWA JATI,30 s.d 50 cm,1,0,0,2,0,0,0,0,0
81,202406,2,4,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,30 cm,1,0,0,1,0,0,0,0,0
82,202406,2,4,KOTA ADM. JAKARTA TIMUR,PASAR REBO,BARU,50 cm,1,0,0,1,0,0,0,0,0
83,202406,2,4,KOTA ADM. JAKARTA TIMUR,JATINEGARA,BIDARA CINA,30 s.d 70 cm,2,0,0,3,0,0,0,0,0
84,202406,2,4,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,CAWANG,30 s.d 210 cm,2,0,0,4,0,0,0,0,0
85,202406,2,4,KOTA ADM. JAKARTA TIMUR,CIRACAS,CIBUBUR,70 cm,1,0,0,1,0,0,0,0,0
86,202406,2,4,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,CILILITAN,35 s.d 100 cm,1,0,0,3,0,0,0,0,0
87,202412,4,11,KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,30 s.d 70 cm,2,0,0,2,0,0,0,0,0
88,202412,4,11,KOTA ADM. JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,50 s.d 60 cm,1,0,0,1,0,0,0,0,0
89,202412,4,11,KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,30 s.d 80 cm,1,0,0,3,0,0,0,0,0
90,202412,4,11,KOTA ADM. JAKARTA BARAT,KEBON JERUK,KELAPA DUA,60 cm,1,0,0,2,0,0,0,0,0
91,202412,4,11,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,30 s.d 60 cm,1,0,0,1,0,0,0,0,0
