rn,periode_data,triwulan,bulan,wilayah,kecamatan,kelurahan,jumlah_rata_rata_ketinggian_air,jumlah_rw_terdampak,jumlah_kk_terdampak,jumlah_jiwa_terdampak,jumlah_kejadian,jumlah_korban_meninggal,jumlah_korban_luka,jumlah_pengungsi,jumlah_tempat_pengungsian
1,202506,2,5,kota adm. jakarta barat,kembangan,joglo,35 s.d 55 cm,2,0,0,1,0,0,46,1
2,202506,2,5,kota adm. jakarta barat,kembangan,kembangan selatan,40 s.d 70 cm,1,0,0,1,0,0,0,0
3,202506,2,5,kota adm. jakarta barat,kembangan,meruya utara,30 s.d 130 cm,1,0,0,1,0,0,0,0
4,202506,2,5,kota adm. jakarta barat,cengkareng,rawa buaya,30 cm,1,0,0,1,0,0,0,0
5,202506,2,5,kota adm. jakarta barat,kembangan,srengseng,40 cm,1,0,0,1,0,0,0,0
6,202506,2,5,kota adm. jakarta barat,kebon jeruk,sukabumi selatan,50 s.d 95 cm,1,0,0,3,0,0,0,0
7,202506,2,5,kota adm. jakarta selatan,jagakarsa,ciganjur,40 cm,1,0,0,1,0,0,14,1
8,202506,2,5,kota adm. jakarta selatan,pasar minggu,cilandak timur,25 s.d 100 cm,2,0,0,2,0,0,0,0
9,202503,1,3,kota adm. jakarta barat,cengkareng,cengkareng timur,30 cm,1,0,0,1,0,0,0,0
10,202503,1,3,kota adm. jakarta barat,cengkareng,duri kosambi,40 s.d 60 cm,1,0,0,1,0,0,0,0
11,202503,1,3,kota adm. jakarta barat,kebon jeruk,kebon jeruk,40 s.d 100 cm,2,0,0,1,0,0,0,0
12,202503,1,3,kota adm. jakarta barat,cengkareng,kedaung kali angke,30 s.d 40 cm,1,0,0,1,0,0,37,1
13,202503,1,3,kota adm. jakarta barat,kebon jeruk,kedoya selatan,30 s.d 100 cm,1,0,0,2,0,0,174,2
14,202503,1,3,kota adm. jakarta barat,kembangan,kembangan selatan,30 s.d 70 cm,1,0,0,1,0,0,52,1
15,202503,1,3,kota adm. jakarta barat,kembangan,kembangan utara,30 s.d 80 cm,1,0,0,2,0,0,15,1
16,202503,1,3,kota adm. jakarta barat,cengkareng,rawa buaya,30 s.d 150 cm,3,0,0,2,0,0,15,1
17,202503,1,3,kota adm. jakarta pusat,tanah abang,petamburan,40 cm,2,0,0,1,0,0,0,0
18,202503,1,3,kota adm. jakarta selatan,mampang prapatan,bangka,00 s.d 300 cm,1,0,0,1,0,0,0,0
19,202503,1,3,kota adm. jakarta selatan,pesanggrahan,bintaro,20 s.d 300 cm,2,355,725,1,0,0,120,2
20,202503,1,3,kota adm. jakarta selatan,pancoran,cikoko,30 s.d 100 cm,1,30,130,1,0,0,120,1
21,202503,1,3,kota adm. jakarta selatan,pasar minggu,cilandak timur,38 s.d 130 cm,2,18,76,2,0,0,112,4
22,202503,1,3,kota adm. jakarta selatan,kebayoran lama,cipulir,60 s.d 200 cm,1,59,169,2,0,0,0,0
23,202503,1,3,kota adm. jakarta selatan,kebayoran lama,grogol selatan,40 cm,1,0,0,1,0,0,0,0
24,202503,1,3,kota adm. jakarta selatan,tebet,kebon baru,60 s.d 200 cm,1,246,847,1,130,0,0,0
25,202503,1,3,kota adm. jakarta selatan,cilandak,lebak bulus,30 s.d 60 cm,1,40,200,2,0,0,140,2
26,202503,1,3,kota adm. jakarta selatan,jagakarsa,lenteng agung,30 s.d 100 cm,2,62,230,2,0,0,230,1
27,202503,1,3,kota adm. jakarta selatan,tebet,manggarai,30 s.d 125 cm,3,0,0,1,0,0,0,0
28,202503,1,3,kota adm. jakarta selatan,pasar minggu,pejaten timur,30 s.d 370 cm,4,71,158,3,0,0,750,2
29,202503,1,3,kota adm. jakarta selatan,mampang prapatan,pela mampang,30 cm,1,0,0,1,0,0,0,0
30,202503,1,3,kota adm. jakarta selatan,pancoran,pengadegan,80 s.d 310 cm,1,0,0,1,0,0,875,6
31,202503,1,3,kota adm. jakarta selatan,pesanggrahan,pesanggrahan,55 s.d 80 cm,1,92,338,1,0,0,0,0
32,202503,1,3,kota adm. jakarta selatan,cilandak,pondok labu,60 s.d 180 cm,5,0,0,1,0,0,0,0
33,202503,1,3,kota adm. jakarta selatan,kebayoran lama,pondok pinang,40 s.d 140 cm,2,0,0,1,0,0,0,0
34,202503,1,3,kota adm. jakarta selatan,pancoran,rawa jati,30 s.d 352 cm,2,0,0,2,0,0,961,3
35,202503,1,3,kota adm. jakarta selatan,jagakarsa,srengseng sawah,30 s.d 70 cm,2,17,63,2,0,0,0,0
36,202503,1,3,kota adm. jakarta selatan,jagakarsa,tanjung barat,40 s.d 300 cm,2,0,0,1,0,0,0,0
37,202503,1,3,kota adm. jakarta selatan,mampang prapatan,tegal parang,30 cm,1,0,0,1,0,0,0,0
38,202503,1,3,kota adm. jakarta selatan,pesanggrahan,ulujami,30 s.d 60 cm,1,0,0,1,0,0,0,0
39,202503,1,3,kota adm. jakarta timur,kramat jati,bale kambang,30 s.d 260 cm,1,171,601,3,0,0,0,0
40,202503,1,3,kota adm. jakarta timur,jatinegara,bali mester,40 s.d 60 cm,1,0,0,1,0,0,0,0
41,202503,1,3,kota adm. jakarta timur,jatinegara,bidara cina,30 s.d 420 cm,4,143,502,3,0,0,1632,11
42,202503,1,3,kota adm. jakarta timur,kramat jati,cawang,30 s.d 370 cm,2,60,240,3,0,0,777,3
43,202503,1,3,kota adm. jakarta timur,kramat jati,cililitan,",6 s.d 370 cm",2,28,90,3,0,0,82,1
44,202503,1,3,kota adm. jakarta timur,makasar,cipinang melayu,30 s.d 40 cm,2,0,0,1,0,0,0,0
45,202503,1,3,kota adm. jakarta timur,jatinegara,cipinang muara,30 s.d 90 cm,1,150,365,2,0,0,0,0
46,202503,1,3,kota adm. jakarta timur,pasar rebo,gedong,30 s.d 500 cm,3,82,264,2,0,0,0,0
47,202503,1,3,kota adm. jakarta timur,jatinegara,kampung melayu,30 s.d 330 cm,4,0,0,6,0,0,601,5
48,202503,1,3,kota adm. jakarta timur,cipayung,lubang buaya,30 cm,1,0,0,1,0,0,0,0
49,202509,3,8,kota adm. jakarta barat,kebon jeruk,kebon jeruk,30 s.d 40 cm,1,0,0,1,0,0,0,0
50,202509,3,8,kota adm. jakarta barat,kebon jeruk,kedoya selatan,30 s.d 40 cm,1,0,0,1,0,0,0,0
51,202509,3,8,kota adm. jakarta barat,kembangan,kembangan selatan,30 cm,1,0,0,1,0,0,0,0
52,202509,3,8,kota adm. jakarta barat,kembangan,kembangan utara,30 cm,1,0,0,1,0,0,0,0
53,202509,3,8,kota adm. jakarta barat,cengkareng,rawa buaya,50 s.d 60 cm,1,0,0,1,0,0,0,0
54,202509,3,8,kota adm. jakarta barat,kebon jeruk,sukabumi selatan,70 cm,1,0,0,1,0,0,0,0
55,202509,3,8,kota adm. jakarta barat,kebon jeruk,sukabumi utara,30 cm,1,0,0,1,0,0,0,0
56,202506,2,5,kota adm. jakarta selatan,pancoran,kalibata,60 cm,1,0,0,1,0,0,0,0
57,202506,2,5,kota adm. jakarta selatan,mampang prapatan,kuningan barat,30 s.d 100 cm,4,0,0,2,0,0,0,0
58,202506,2,5,kota adm. jakarta selatan,mampang prapatan,pela mampang,50 cm,1,0,0,1,0,0,0,0
59,202506,2,5,kota adm. jakarta timur,jatinegara,bidara cina,30 s.d 70 cm,4,0,0,2,0,0,0,0
60,202506,2,5,kota adm. jakarta timur,kramatjati,cawang,45 s.d 130 cm,1,162,446,2,0,0,0,0
61,202506,2,5,kota adm. jakarta timur,kramatjati,cililitan,00 s.d 130 cm,2,14,45,1,0,0,0,0
62,202506,2,5,kota adm. jakarta timur,jatinegara,cipinang muara,15 s.d 45 cm,1,0,0,1,0,0,0,0
63,202506,2,5,kota adm. jakarta timur,jatinegara,kampung melayu,30 s.d 40 cm,2,44,125,2,0,0,0,0
64,202506,2,5,kota adm. jakarta timur,makasar,makasar,30 cm,1,150,450,1,0,0,0,0
65,202506,2,5,kota adm. jakarta utara,penjaringan,pluit,10 s.d 65 cm,2,0,0,7,0,0,0,0
66,202506,2,6,kota adm. jakarta barat,kembangan,kembangan selatan,30 s.d 50 cm,1,0,0,2,0,0,0,0
67,202506,2,6,kota adm. jakarta barat,cengkareng,rawa buaya,30 s.d 50 cm,1,0,0,2,0,0,0,0
68,202506,2,6,kota adm. jakarta selatan,cilandak,cilandak barat,40 cm,1,0,0,1,0,0,0,0
69,202506,2,6,kota adm. jakarta selatan,pasar minggu,cilandak timur,30 s.d 80 cm,1,0,0,1,0,0,0,0
70,202506,2,6,kota adm. jakarta selatan,pancoran,duren tiga,90 cm,1,0,0,1,0,0,0,0
71,202506,2,6,kota adm. jakarta selatan,mampang prapatan,kuningan barat,80 s.d 110 cm,1,0,0,1,0,0,0,0
72,202506,2,6,kota adm. jakarta selatan,mampang prapatan,pela mampang,45 s.d 80 cm,2,0,0,3,0,0,0,0
73,202506,2,6,kota adm. jakarta selatan,pesanggrahan,pesanggrahan,30 s.d 50 cm,1,0,0,2,0,0,0,0
74,202506,2,6,kota adm. jakarta selatan,kebayoran baru,petogogan,60 s.d 80 cm,3,0,0,1,0,0,0,0
75,202506,2,6,kota adm. jakarta utara,cilincing,marunda,10 cm,1,0,0,2,0,0,0,0
76,202506,2,6,kota adm. jakarta utara,penjaringan,pluit,10 s.d 90 cm,1,0,0,10,0,0,0,0
77,202509,3,7,kota adm. jakarta selatan,mampang prapatan,pela mampang,30 s.d 200 cm,4,0,0,3,0,0,0,0
78,202509,3,7,kota adm. jakarta selatan,pancoran,pengadegan,30 s.d 180 cm,1,71,185,1,0,0,0,0
79,202509,3,7,kota adm. jakarta selatan,kebayoran baru,petogogan,30 s.d 60 cm,3,0,0,2,0,0,0,0
80,202509,3,7,kota adm. jakarta selatan,cilandak,pondok labu,70 s.d 120 cm,1,0,0,2,0,0,0,0
81,202509,3,7,kota adm. jakarta selatan,pancoran,rawajati,30 s.d 270 cm,2,0,0,3,0,0,0,0
82,202509,3,7,kota adm. jakarta selatan,jagakarsa,srengseng sawah,30 cm,1,12,39,1,0,0,0,0
83,202509,3,7,kota adm. jakarta selatan,jagakarsa,tanjung barat,30 s.d 210 cm,1,25,75,1,0,0,0,0
84,202509,3,7,kota adm. jakarta timur,kramatjati,balekambang,30 s.d 150 cm,1,47,170,2,0,0,0,0
85,202509,3,7,kota adm. jakarta timur,jatinegara,bidara cina,30 s.d 250 cm,3,37,121,2,0,0,137,1
86,202509,3,7,kota adm. jakarta timur,kramatjati,cawang,30 s.d 300 cm,2,280,860,2,0,0,30,1
87,202509,3,7,kota adm. jakarta timur,kramatjati,cililitan,30 s.d 290 cm,2,109,301,2,0,0,11,1
88,202509,3,7,kota adm. jakarta timur,makasar,cipinang melayu,40 s.d 150 cm,3,95,337,1,0,0,309,5
89,202509,3,7,kota adm. jakarta timur,jatinegara,cipinang muara,40 s.d 65 cm,1,0,0,2,0,0,0,0
90,202509,3,7,kota adm. jakarta timur,pasar rebo,gedong,50 s.d 200 cm,4,82,264,2,0,0,0,0
91,202509,3,7,kota adm. jakarta timur,jatinegara,kampung melayu,30 s.d 220 cm,2,132,425,2,0,0,193,2
92,202509,3,7,kota adm. jakarta timur,makasar,kebon pala,30 s.d 80 cm,1,0,0,1,0,0,0,0
93,202509,3,7,kota adm. jakarta timur,ciracas,susukan,40 s.d 50 cm,1,0,0,1,0,0,0,0
94,202509,3,7,kota adm. jakarta timur,kramatjati,tengah,30 s.d 40 cm,1,0,0,1,0,0,0,0
95,202509,3,7,kota adm. jakarta utara,penjaringan,kapuk muara,10 s.d 65 cm,1,0,0,1,0,0,0,0
96,202509,3,7,kota adm. jakarta utara,penjaringan,pluit,10 s.d 60 cm,1,0,0,13,0,0,0,0
97,202509,3,8,kota adm. jakarta barat,kembangan,joglo,25 s.d 80 cm,1,0,0,2,0,0,0,0
98,202509,3,8,kota adm. jakarta selatan,kebayoran lama,cipulir,30 s.d 60 cm,1,0,0,1,0,0,0,0
99,202509,3,8,kota adm. jakarta selatan,kebayoran lama,kebayoran lama utara,40 s.d 50 cm,1,0,0,1,0,0,0,0
100,202509,3,8,kota adm. jakarta selatan,pasar minggu,pejaten timur,45 s.d 130 cm,2,110,335,1,0,0,0,0
101,202509,3,8,kota adm. jakarta selatan,cilandak,pondok labu,40 s.d 60 cm,1,115,460,1,0,0,0,0
102,202509,3,8,kota adm. jakarta selatan,kebayoran lama,pondok pinang,40 s.d 160 cm,2,0,0,1,0,0,0,0
103,202509,3,8,kota adm. jakarta timur,jatinegara,bidara cina,30 s.d 65 cm,3,108,397,3,0,0,0,0
104,202509,3,8,kota adm. jakarta timur,kramatjati,cawang,30 s.d 95 cm,2,280,860,2,0,0,0,0
105,202509,3,8,kota adm. jakarta timur,kramatjati,cililitan,40 s.d 90 cm,2,95,256,2,0,0,0,0
106,202509,3,8,kota adm. jakarta timur,makasar,cipinang melayu,40 s.d 60 cm,2,0,0,1,0,0,0,0
107,202509,3,8,kota adm. jakarta timur,jatinegara,cipinang muara,35 s.d 120 cm,1,142,245,2,0,0,0,0
108,202509,3,8,kota adm. jakarta timur,kramatjati,dukuh,30 cm,1,0,0,1,0,0,0,0
109,202509,3,8,kota adm. jakarta timur,jatinegara,kampung melayu,30 s.d 75 cm,2,71,232,3,0,0,0,0
110,202509,3,8,kota adm. jakarta timur,makasar,kebon pala,30 cm,2,0,0,1,0,0,0,0
111,202509,3,8,kota adm. jakarta timur,cipayung,lubang buaya,30 s.d 90 cm,1,0,0,2,0,0,0,0
112,202509,3,8,kota adm. jakarta timur,makasar,makasar,30 cm,1,0,0,1,0,0,0,0
113,202509,3,8,kota adm. jakarta timur,duren sawit,pondok bambu,50 cm,1,71,272,1,0,0,1,1
114,202509,3,8,kota adm. jakarta timur,ciracas,rambutan,30 s.d 40 cm,2,0,0,1,0,0,0,0
115,202509,3,8,kota adm. jakarta timur,kramatjati,tengah,30 s.d 50 cm,1,0,0,1,0,0,0,0
116,202509,3,8,kota adm. jakarta utara,cilincing,marunda,10 cm,1,0,0,1,0,0,0,0
117,202509,3,8,kota adm. jakarta utara,penjaringan,pluit,10 s.d 60 cm,1,0,0,3,0,0,0,0
118,202509,3,9,kota adm. jakarta selatan,mampang prapatan,bangka,30 s.d 45 cm,1,0,0,1,0,0,0,0
119,202509,3,9,kota adm. jakarta selatan,pesanggrahan,bintaro,30 s.d 50 cm,2,355,725,2,0,0,0,0
120,202509,3,9,kota adm. jakarta selatan,cilandak,cilandak barat,40 s.d 90 cm,1,0,0,1,0,0,0,0
121,202509,3,9,kota adm. jakarta selatan,pasar minggu,cilandak timur,50 s.d 145 cm,2,293,907,1,0,0,43,2
122,202509,3,9,kota adm. jakarta selatan,pancoran,kalibata,40 cm,1,0,0,1,0,0,0,0
123,202509,3,9,kota adm. jakarta selatan,mampang prapatan,kuningan barat,50 cm,1,0,0,1,0,0,0,0
124,202509,3,9,kota adm. jakarta selatan,cilandak,lebak bulus,40 s.d 60 cm,1,40,200,1,0,0,25,1
125,202509,3,9,kota adm. jakarta selatan,pancoran,pancoran,40 s.d 90 cm,1,0,0,1,0,0,0,0
126,202509,3,9,kota adm. jakarta selatan,mampang prapatan,pela mampang,30 s.d 80 cm,3,0,0,3,0,0,0,0
127,202509,3,9,kota adm. jakarta selatan,pesanggrahan,pesanggrahan,30 s.d 70 cm,3,33,130,2,0,0,0,0
128,202509,3,9,kota adm. jakarta selatan,pesanggrahan,petukangan utara,30 cm,1,0,0,1,0,0,0,0
129,202509,3,9,kota adm. jakarta selatan,cilandak,pondok labu,0 cm,1,0,0,1,0,0,150,1
130,202509,3,9,kota adm. jakarta selatan,pesanggrahan,ulujami,50 cm,1,0,0,1,0,0,0,0
131,202509,3,9,kota adm. jakarta timur,kramatjati,tengah,30 cm,1,0,0,1,0,0,0,0
132,202509,3,9,kota adm. jakarta utara,penjaringan,pluit,10 cm,1,0,0,1,0,0,0,0
133,202509,3,8,kota adm. jakarta barat,kalideres,tegal alur,30 cm,1,10,20,1,0,0,20,1
134,202509,3,8,kota adm. jakarta selatan,pesanggrahan,bintaro,30 s.d 150 cm,2,0,0,1,0,0,0,0
135,202509,3,8,kota adm. jakarta selatan,cilandak,cilandak barat,30 cm,1,0,0,1,0,0,0,0
136,202509,3,8,kota adm. jakarta selatan,pasar minggu,cilandak timur,40 s.d 45 cm,1,0,0,1,0,0,0,0
137,202509,3,7,kota adm. jakarta barat,kebon jeruk,duri kepa,40 cm,1,0,0,1,0,0,0,0
138,202509,3,7,kota adm. jakarta barat,cengkareng,duri kosambi,30 s.d 60 cm,4,0,0,2,0,0,0,0
139,202509,3,7,kota adm. jakarta barat,kembangan,joglo,30 s.d 60 cm,1,0,0,3,0,0,0,0
140,202509,3,7,kota adm. jakarta barat,kalideres,kamal,20 s.d 40 cm,1,0,0,1,0,0,0,0
141,202509,3,7,kota adm. jakarta barat,kebon jeruk,kebon jeruk,40 cm,2,0,0,1,0,0,0,0
142,202509,3,7,kota adm. jakarta barat,cengkareng,kedaung kali angke,30 s.d 75 cm,2,40,110,2,0,0,110,3
143,202509,3,7,kota adm. jakarta barat,kebon jeruk,kedoya selatan,25 s.d 60 cm,1,12,37,2,0,0,37,1
144,202509,3,7,kota adm. jakarta barat,kembangan,kembangan selatan,30 s.d 60 cm,2,10,40,3,0,0,40,1
145,202509,3,7,kota adm. jakarta barat,kembangan,kembangan utara,20 s.d 100 cm,1,0,0,2,0,0,0,0
146,202509,3,7,kota adm. jakarta barat,kembangan,meruya utara,30 s.d 130 cm,1,0,0,1,0,0,0,0
147,202509,3,7,kota adm. jakarta barat,cengkareng,rawa buaya,30 s.d 80 cm,3,0,0,4,0,0,0,0
148,202509,3,7,kota adm. jakarta barat,kalideres,semanan,20 s.d 30 cm,1,0,0,1,0,0,0,0
149,202509,3,7,kota adm. jakarta barat,kebon jeruk,sukabumi selatan,40 s.d 100 cm,1,0,0,2,0,0,0,0
150,202509,3,7,kota adm. jakarta barat,kebon jeruk,sukabumi utara,40 s.d 60 cm,2,0,0,2,0,0,0,0
151,202509,3,7,kota adm. jakarta barat,kalideres,tegal alur,30 cm,1,0,0,1,0,0,0,0
152,202509,3,7,kota adm. jakarta pusat,tanah abang,bendungan hilir,30 s.d 40 cm,1,0,0,2,0,0,0,0
153,202509,3,7,kota adm. jakarta pusat,tanah abang,karet tengsin,30 s.d 70 cm,6,20,71,1,0,0,156,3
154,202509,3,7,kota adm. jakarta pusat,tanah abang,petamburan,40 cm,2,0,0,1,0,0,0,0
155,202509,3,7,kota adm. jakarta selatan,mampang prapatan,bangka,30 s.d 100 cm,1,0,0,2,0,0,0,0
156,202509,3,7,kota adm. jakarta selatan,jagakarsa,ciganjur,0 cm,1,0,0,1,0,0,0,0
157,202509,3,7,kota adm. jakarta selatan,cilandak,cilandak barat,70 cm,1,0,0,1,0,0,0,0
158,202509,3,7,kota adm. jakarta selatan,pasar minggu,cilandak timur,20 s.d 150 cm,2,0,0,2,0,0,0,0
159,202509,3,7,kota adm. jakarta selatan,kebayoran baru,cipete utara,30 s.d 200 cm,1,300,1000,2,0,0,0,0
160,202509,3,7,kota adm. jakarta selatan,pancoran,duren tiga,30 s.d 130 cm,1,0,0,2,0,0,0,0
161,202509,3,7,kota adm. jakarta selatan,cilandak,gandaria selatan,30 s.d 80 cm,1,365,1450,1,0,0,0,0
162,202509,3,7,kota adm. jakarta selatan,jagakarsa,jagakarsa,25 s.d 40 cm,1,0,0,1,0,0,0,0
163,202509,3,7,kota adm. jakarta selatan,pasar minggu,jati padang,35 s.d 90 cm,2,503,1619,2,0,0,75,2
164,202509,3,7,kota adm. jakarta selatan,pancoran,kalibata,30 s.d 130 cm,1,65,190,1,0,0,0,0
165,202509,3,7,kota adm. jakarta selatan,tebet,kebon baru,30 s.d 120 cm,1,0,0,1,0,0,0,0
166,202509,3,7,kota adm. jakarta selatan,mampang prapatan,kuningan barat,20 s.d 120 cm,3,0,0,2,0,0,0,0
167,202509,3,7,kota adm. jakarta selatan,cilandak,lebak bulus,30 s.d 60 cm,1,0,0,2,0,0,0,0
168,202509,3,7,kota adm. jakarta selatan,jagakarsa,lenteng agung,30 s.d 60 cm,1,40,146,1,0,0,0,0
169,202509,3,7,kota adm. jakarta selatan,tebet,manggarai,30 s.d 80 cm,4,33,0,1,0,0,0,0
170,202509,3,7,kota adm. jakarta selatan,pasar minggu,pejaten barat,40 s.d 90 cm,1,0,0,1,0,0,60,1
171,202509,3,7,kota adm. jakarta selatan,pasar minggu,pejaten timur,30 s.d 240 cm,3,51,108,2,0,0,0,0
172,202506,2,4,kota adm. jakarta barat,kebon jeruk,duri kepa,40 cm,1,0,0,1,0,0,0,0
173,202506,2,4,kota adm. jakarta barat,cengkareng,duri kosambi,40 cm,1,0,0,1,0,0,0,0
174,202506,2,4,kota adm. jakarta barat,kembangan,joglo,30 s.d 75 cm,1,0,0,1,0,0,0,0
175,202506,2,4,kota adm. jakarta barat,cengkareng,rawa buaya,35 s.d 90 cm,1,0,0,1,0,0,0,0
176,202506,2,4,kota adm. jakarta barat,kebon jeruk,sukabumi selatan,50 s.d 175 cm,1,0,0,1,0,0,0,0
177,202506,2,4,kota adm. jakarta selatan,mampang prapatan,kuningan barat,30 s.d 80 cm,1,0,0,1,0,0,0,0
178,202506,2,4,kota adm. jakarta timur,jatinegara,bidara cina,30 s.d 40 cm,1,0,0,1,0,0,0,0
179,202506,2,4,kota adm. jakarta timur,makasar,cipinang melayu,50 s.d 180 cm,2,0,0,1,0,0,0,0
180,202506,2,4,kota adm. jakarta timur,jatinegara,cipinang muara,30 cm,1,0,0,1,0,0,0,0
181,202506,2,4,kota adm. jakarta timur,jatinegara,kampung melayu,30 s.d 40 cm,2,44,125,2,0,0,0,0
182,202506,2,4,kota adm. jakarta timur,cipayung,lubang buaya,30 cm,1,0,0,1,0,0,0,0
183,202506,2,4,kota adm. jakarta timur,cipayung,setu,30 cm,1,0,0,1,0,0,0,0
184,202506,2,4,kota adm. jakarta utara,penjaringan,pluit,10 s.d 55 cm,1,0,0,2,0,0,0,0
185,202506,2,5,kota adm. jakarta barat,kebon jeruk,duri kepa,20 s.d 50 cm,2,0,0,1,0,0,0,0
186,202503,1,1,kota adm. jakarta barat,cengkareng,cengkareng barat,30 s.d 80 cm,3,0,0,1,0,0,224,2
187,202503,1,1,kota adm. jakarta barat,cengkareng,cengkareng timur,30 s.d 70 cm,2,250,500,2,0,0,566,2
188,202503,1,1,kota adm. jakarta barat,kebon jeruk,duri kepa,30 s.d 60 cm,2,0,0,1,0,0,0,0
189,202503,1,1,kota adm. jakarta barat,cengkareng,duri kosambi,30 s.d 100 cm,2,0,0,1,0,0,370,3
190,202503,1,1,kota adm. jakarta barat,grogol petamburan,jelambar baru,30 s.d 50 cm,2,0,0,1,0,0,0,0
191,202503,1,1,kota adm. jakarta barat,kembangan,joglo,30 cm,1,0,0,2,0,0,0,0
192,202503,1,1,kota adm. jakarta barat,kali deres,kalideres,35 s.d 40 cm,1,0,0,1,0,0,0,0
193,202503,1,1,kota adm. jakarta barat,cengkareng,kapuk,20 s.d 40 cm,3,0,0,1,0,0,0,0
194,202503,1,1,kota adm. jakarta barat,cengkareng,kedaung kali angke,20 s.d 70 cm,3,0,0,2,0,0,37,1
195,202503,1,1,kota adm. jakarta barat,kebon jeruk,kedoya selatan,20 cm,1,0,0,1,0,0,0,0
196,202503,1,1,kota adm. jakarta barat,kembangan,kembangan utara,30 cm,1,0,0,1,0,0,0,0
197,202503,1,1,kota adm. jakarta barat,kali deres,pegadungan,30 s.d 150 cm,1,0,0,1,0,0,500,1
