rn,periode_data,indikator_kemiskinan,nilai,satuan
1,2006,Jumlah Penduduk Miskin,407.1,Ribu Orang
2,2007,Jumlah Penduduk Miskin,405.7,Ribu Orang
3,2008,Jumlah Penduduk Miskin,379.6,Ribu Orang
4,2009,Jumlah Penduduk Miskin,323.2,Ribu Orang
5,2010,Jumlah Penduduk Miskin,312.2,Ribu Orang
6,2011,Jumlah Penduduk Miskin,363.4,Ribu Orang
7,2012,Jumlah Penduduk Miskin,363.2,Ribu Orang
8,2006,Persentase Penduduk Miskin,4.6,Persen
9,2007,Persentase Penduduk Miskin,4.5,Persen
10,2008,Persentase Penduduk Miskin,4.28,Persen
11,2009,Persentase Penduduk Miskin,3.62,Persen
12,2010,Persentase Penduduk Miskin,3.48,Persen
13,2011,Persentase Penduduk Miskin,3.75,Persen
14,2012,Persentase Penduduk Miskin,3.69,Persen
15,2006,Indeks Kedalaman Kemiskinan (P1),0.75,Skala
16,2007,Indeks Kedalaman Kemiskinan (P1),0.59,Skala
17,2008,Indeks Kedalaman Kemiskinan (P1),0.58,Skala
18,2009,Indeks Kedalaman Kemiskinan (P1),0.57,Skala
19,2010,Indeks Kedalaman Kemiskinan (P1),0.45,Skala
20,2011,Indeks Kedalaman Kemiskinan (P1),0.6,Skala
21,2012,Indeks Kedalaman Kemiskinan (P1),0.5,Skala
22,2006,Indeks Keparahan Kemiskinan (P2),0.19,Skala
23,2007,Indeks Keparahan Kemiskinan (P2),0.12,Skala
24,2008,Indeks Keparahan Kemiskinan (P2),0.13,Skala
25,2009,Indeks Keparahan Kemiskinan (P2),0.14,Skala
26,2010,Indeks Keparahan Kemiskinan (P2),0.11,Skala
27,2011,Indeks Keparahan Kemiskinan (P2),0.15,Skala
28,2012,Indeks Keparahan Kemiskinan (P2),0.13,Skala
