rn,periode_data,wilayah,kecamatan,kelurahan,latitude,longitude
1,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Bangka,-6214879,106819983
2,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6201581,106808297
3,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6208086,106808687
4,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6207986,106808755
5,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6200481,106810587
6,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6199486,106813522
7,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Bendungan Hilir,-6214857,106815124
8,2024,Kota Adm. Jakarta Timur,Jatinegara,Bidara Cina,-6240897,106866261
9,2024,Kota Adm. Jakarta Pusat,Senen,Bungur,-6168909,106846348
10,2024,Kota Adm. Jakarta Pusat,Senen,Bungur,-6168901,106846352
11,2024,Kota Adm. Jakarta Timur,Cakung,Cakung Barat,-6174049,106939457
12,2024,Kota Adm. Jakarta Pusat,Kemayoran,Cempaka Baru,-6170335,106860745
13,2024,Kota Adm. Jakarta Pusat,Kemayoran,Cempaka Baru,-6172293,106860909
14,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,-6183807,106867573
15,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,-6173712,106870379
16,2024,Kota Adm. Jakarta Timur,Ciracas,Cibubur,-6350042,106876385
17,2024,Kota Adm. Jakarta Selatan,Jagakarsa,Ciganjur,-6324882,106804457
18,2024,Kota Adm. Jakarta Selatan,Pancoran,Cikoko,-6245382,106852330
19,2024,Kota Adm. Jakarta Selatan,Cilandak,Cilandak Barat,-6282455,106791809
20,2024,Kota Adm. Jakarta Selatan,Cilandak,Cilandak Barat,-6285200,106816500
21,2024,Kota Adm. Jakarta Timur,Cipayung,Cilangkap,-6333835,106903111
22,2024,Kota Adm. Jakarta Timur,Kramatjati,Cililitan,-6259398,106865302
23,2024,Kota Adm. Jakarta Selatan,Cilandak,Cipete Selatan,-6274007,106798651
24,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Cipete Utara,-6266900,106797200
25,2024,Kota Adm. Jakarta Timur,Pulogadung,Cipinang,-6210873,106898512
26,2024,Kota Adm. Jakarta Timur,Jatinegara,Cipinang Besar Selatan,-6235883,106878484
27,2024,Kota Adm. Jakarta Timur,Makasar,Cipinang Melayu,-6252134,106872832
28,2024,Kota Adm. Jakarta Timur,Jatinegara,Cipinang Muara,-6237389,106891973
29,2024,Kota Adm. Jakarta Timur,Ciracas,Ciracas,-6334218,106875612
30,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,-6229540,106909939
31,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Duri Kepa,-6188200,106773600
32,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Duri Kepa,-6190500,106777800
33,2024,Kota Adm. Jakarta Pusat,Johar Baru,Galur,-6181500,106865000
34,2024,Kota Adm. Jakarta Pusat,Johar Baru,Galur,-6180800,106865300
35,2024,Kota Adm. Jakarta Selatan,Cilandak,Gandaria Selatan,-6270603,106794008
36,2024,Kota Adm. Jakarta Selatan,Cilandak,Gandaria Selatan,-6270574,106794031
37,2024,Kota Adm. Jakarta Timur,Pasar Rebo,Gedong,-6330614,106900151
38,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Gelora,-6207666,106796311
39,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Gelora,-6213994,106798204
40,2024,Kota Adm. Jakarta Barat,Taman Sari,Glodok,-6146278,106812754
41,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Gunung,-6234800,106788432
42,2024,Kota Adm. Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,-6162319,106842265
43,2024,Kota Adm. Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,-6157092,106846986
44,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,-6152995,106838638
45,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,-6153002,106838645
46,2024,Kota Adm. Jakarta Pusat,Kemayoran,Harapan Mulya,-6167877,106857622
47,2024,Kota Adm. Jakarta Selatan,Jagakarsa,Jagakarsa,-6332747,106817370
48,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Jati Padang,-6285610,106834860
49,2024,Kota Adm. Jakarta Barat,Kembangan,Joglo,-6220500,106758900
